label,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28
1,4093230,4789,169,10,0,0,6,1857,0,0,0,45,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1,4655785,89,6,0,0,0,9,126,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0
1,5030035,2168,118,9,0,0,0,263,0,0,0,11,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0
1,5078529,3636,342,10,1,0,19,872,0,0,0,28,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1,4150857,4623,168,10,0,0,6,1887,0,0,0,45,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1,2287618,2023,37,6,0,0,0,171,1,0,0,10,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
1,4661749,9031,362,17,1,0,5,366,0,0,0,25,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
1,4665020,67,7,0,0,0,4,47,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0
1,5015037,2110,5,20,0,0,0,487,1,0,0,44,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0
1,5568894,1966,936,6,0,0,0,157,0,0,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1,5006381,792,5,7,0,0,0,84,1,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1,5276910,1845,74,39,0,0,0,185,0,0,0,48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,5009267,2789,34,24,0,0,0,539,1,0,0,45,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0
1,4609165,6295,140,7,0,0,10,280,0,0,0,20,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1,5010047,3787,5,34,0,0,0,394,1,0,0,34,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
1,3554203,245499,116850,4,0,0,0,25,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5672498,107,17,4,2,0,60,386,0,0,0,159,2,0,1,0,1,23,0,0,0,45,0,0,0,0,0,0
1,5024411,1893,5,10,0,0,0,213,1,0,0,10,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
1,4614127,89,12,0,0,0,4,38,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
1,3532550,237409,112980,4,0,0,0,13,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5060590,2414,57,12,0,1,0,268,0,0,0,12,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1,2318833,1838,38,4,0,0,0,87,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5164558,62,11,2,0,0,7,28,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1,5014609,974,5,10,0,0,0,113,1,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1,5675847,107,17,4,2,0,60,386,0,0,0,159,2,0,1,0,1,23,0,0,0,45,0,0,0,0,0,0
1,5670522,107,17,4,2,0,60,384,0,0,0,159,2,0,1,0,1,23,0,0,0,43,0,0,0,0,0,0
1,4534586,68,7,0,0,0,4,38,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
1,5017626,817,5,3,0,0,0,83,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1,4698107,81,10,0,0,0,4,38,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
1,5671184,107,17,4,2,0,60,384,0,0,0,159,2,0,1,0,1,23,0,0,0,43,0,0,0,0,0,0
1,4642974,68,7,0,0,0,4,47,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0
1,5011503,1468,5,11,0,0,0,167,1,0,0,11,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
1,5028820,1445,116,8,0,0,0,244,0,0,0,12,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0
1,3479481,237409,112980,4,0,0,0,13,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5676476,107,17,4,2,0,60,386,0,0,0,159,2,0,1,0,1,23,0,0,0,45,0,0,0,0,0,0
1,4850153,75,7,0,0,0,12,230,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0
1,5670548,107,17,4,2,0,60,384,0,0,0,159,2,0,1,0,1,23,0,0,0,43,0,0,0,0,0,0
1,4812076,77,9,0,0,0,10,155,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0
1,5016405,1561,5,14,0,0,0,176,1,0,0,14,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0
1,4735787,6441,163,7,0,0,10,271,0,0,0,20,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
1,4387474,3454,63,18,0,0,0,379,1,0,0,18,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0
1,4873372,3585,332,10,1,0,22,1263,0,0,0,31,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1,5031130,985,5,9,0,0,0,114,1,0,0,9,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
1,3848994,1008,17,0,0,1,2,9,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1,5017154,1691,5,9,0,0,0,173,1,0,0,9,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0
1,3736171,71368,29,1,2,0,111,115,77,0,0,4,6,0,0,0,0,0,0,0,14,2,1,0,0,0,0,0
1,5020781,1152,5,9,0,0,0,244,1,0,0,14,0,0,1,0,1,0,0,0,0,3,5,0,0,0,0,0
1,2291631,5544,61,9,0,0,0,256,1,0,0,9,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
1,4410185,1680,66,12,0,0,0,216,1,0,0,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1,5006978,1493,5,11,0,0,0,171,1,0,0,11,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0
1,5160659,113,32,2,1,1,49,181,2,0,0,35,4,1,3,0,3,0,0,0,0,11,2,0,0,0,0,0
1,2310166,22647,34,46,0,2,0,5765,1,0,0,264,0,3,0,0,0,0,0,0,0,13,7,0,0,0,0,0
